WordInds,LexSemErr,ThresholdCrossingIteration,ONsize,Frequency,NumSemFeats,ThresholdWasCrossed,CorrectItemCrossed,WordThatCrossed,Relatedness_name,Relatedness_code,WordInput
495,926.8974504649217,10,10,2.3710999488830566,9,True,1.0,pike,SemUnrelated,-0.5,pike
529,795.5501354000489,6,2,3.4844000339508057,9,True,1.0,arms,SemUnrelated,-0.5,arms
655,822.5807167771057,6,3,3.998800039291382,10,True,1.0,body,SemUnrelated,-0.5,body
419,885.8752176698817,7,3,2.7258999347686768,13,True,1.0,plug,SemUnrelated,-0.5,plug
774,905.9213233798885,8,4,2.396199941635132,11,True,1.0,fuse,SemUnrelated,-0.5,fuse
619,854.8033231755632,8,6,3.2040998935699463,11,True,1.0,snow,SemUnrelated,-0.5,snow
866,936.1814813091163,10,13,2.7881999015808105,9,True,1.0,hail,SemUnrelated,-0.5,hail
458,834.3358781622468,7,3,2.359800100326538,8,True,1.0,loaf,SemUnrelated,-0.5,loaf
883,823.8125038199785,6,1,1.7633999586105347,12,True,1.0,pita,SemUnrelated,-0.5,pita
872,834.5837626391615,6,0,3.7235000133514404,10,True,1.0,mama,SemUnrelated,-0.5,mama
916,829.2873583090159,6,5,3.4495999813079834,11,True,1.0,aunt,SemUnrelated,-0.5,aunt
493,917.5715186087575,11,17,1.3978999853134155,10,True,1.0,pore,SemUnrelated,-0.5,pore
658,839.6549195882478,8,7,3.351599931716919,14,True,1.0,skin,SemUnrelated,-0.5,skin
613,699.4474451680477,4,0,2.139899969100952,10,True,1.0,tofu,SemUnrelated,-0.5,tofu
1469,733.6500508356188,5,1,1.5184999704360962,9,True,1.0,idly,SemUnrelated,-0.5,idly
532,899.327033742859,7,3,3.1905999183654785,12,True,1.0,shoe,SemUnrelated,-0.5,shoe
1015,862.8596416677614,8,5,3.2790000438690186,4,True,1.0,pair,SemUnrelated,-0.5,pair
1137,745.2977533557082,6,0,3.3922998905181885,3,True,1.0,huge,SemUnrelated,-0.5,huge
1475,864.1921452281697,8,8,2.4941999912261963,8,True,1.0,vast,SemUnrelated,-0.5,vast
591,944.0914155549505,13,19,3.4667000770568848,8,True,1.0,bear,SemUnrelated,-0.5,bear
661,837.0170719108537,7,2,3.014899969100952,8,True,1.0,wolf,SemUnrelated,-0.5,wolf
